Date,Posted By,Posted By Profile,Tweet URL,Content,Tags,Comments
2022-11-25 16:39:44+00:00,WikiResearch,https://twitter.com/WikiResearch/,https://twitter.com/WikiResearch/status/1596181856663310338,"""KnowGL: Knowledge Generation and Linking from Text""  a tool that allows converting text into structured relational data for given Knowledge Graphs such as @Wikidata.

(Rossiello et al, 2022)

paper: https://t.co/4JGmeKj6YG
model:  https://t.co/8AY5SEwkqk.",,
2022-11-10 17:46:34+00:00,namedgraph,https://twitter.com/namedgraph/,https://twitter.com/namedgraph/status/1590762857528164357,"It might be a good time to download your Twitter data.
And while at it, why not convert it to RDF using JSON2RDF and SPARQL? :)
Here are the instructions:
https://t.co/BK2VvONe5J
Improvements to the mapping query are welcome, as well as any analytical queries over the RDF output.",,
2022-11-10 14:17:29+00:00,RIOJournal,https://twitter.com/RIOJournal/,https://twitter.com/RIOJournal/status/1590710237731790848,"‘Nature’s envelope’: David J Patterson @Sydney_Uni with a Forum paper: https://t.co/zqLkdC4O80 presenting a rhetorical device onto which #LifeSciences subdisciplines &amp; existing initiatives may be mapped, and key requirements for a comprehensive data infrastructure be derived.
1/7",,
2022-11-10 13:48:42+00:00,tlpcouvreur,https://twitter.com/tlpcouvreur/,https://twitter.com/tlpcouvreur/status/1590702994563436545,Holding +5kg of amazing &amp; vital knowledge of useful plants of mega biodiverse #Colombia! Presented by @MauricioDiazgra @KewScience at #XICCB2022 congress; with many other Colombian &amp; international colleagues. https://t.co/iawCWkrkgB congrats to the whole team!!!,,
2022-11-10 09:59:25+00:00,leecronin,https://twitter.com/leecronin/,https://twitter.com/leecronin/status/1590645295251177472,This is not the first time I've been Assembly-trolled. The same lead author published this blog which even describes a made up conversation we had where I was offered help. https://t.co/p8MlooaNpD,,
2022-11-09 18:14:32+00:00,lucaspdmedeiros,https://twitter.com/lucaspdmedeiros/,https://twitter.com/lucaspdmedeiros/status/1590407505150373889,"Great review about chaos in ecology!

https://t.co/rrnoybDK2O",,
2022-11-09 16:37:39+00:00,myrmoteras,https://twitter.com/myrmoteras/,https://twitter.com/myrmoteras/status/1590383123908661248,"#mademyday wow, Bat Health Foundation... https://t.co/b9k83nbcgp  #biodiversity",,
2022-11-09 03:14:01+00:00,samwineburg,https://twitter.com/samwineburg/,https://twitter.com/samwineburg/status/1590180881800790016,"In an age of information overabundance, 
critical ignoring is as important as critical thinking.",,
2022-11-03 14:57:54+00:00,rmwaterhouse,https://twitter.com/rmwaterhouse/,https://twitter.com/rmwaterhouse/status/1588183693008719872,"An @F1000Research blog ""ELIXIR: connecting #biodiversity infrastructures and resources"" @ELIXIREurope https://t.co/sYWBZH6sWG",,
2022-11-03 11:31:47+00:00,EPFLevents,https://twitter.com/EPFLevents/,https://twitter.com/EPFLevents/status/1588131824294891520,"Projection du documentaire ""Google connaît toute ma vie"" et table ronde avec @johanrochel, @smetille, @schradie, @le_science4all, @GregoireBarbey 📢Jeudi 10 novembre, 17h30 au Forum Rolex @EPFL (gratuit, sur inscription)👉https://t.co/Rounp63Y",,
